,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NON,P_SAT
G_ADM,0.835820895522388,0.0,0.0,0.0,0.05970149253731343,0.0,0.0,0.0,0.1044776119402985
G_ANN,0.0,0.4,0.5818181818181818,0.01818181818181818,0.0,0.0,0.0,0.0,0.0
G_DIS,0.0,0.21212121212121213,0.7575757575757576,0.020202020202020204,0.0,0.0,0.010101010101010102,0.0,0.0
G_DGS,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
G_GRT,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111
G_MNT,0.0,0.0,0.0,0.0,0.0,0.5,0.012195121951219513,0.4878048780487805,0.0
G_MIX,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
G_NON,0.0,0.0,0.03389830508474576,0.0,0.0,0.22033898305084745,0.01694915254237288,0.7288135593220338,0.0
G_SAT,0.4148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.574468085106383
